epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1176.81,0.33779,0.27199,0.97663,0.84012,0.83036,0.89042,0.77416,0.51021,0.66511,1.10654,6.1152e-05,6.1152e-05,6.1152e-05
42,1203.7,0.32459,0.25326,0.96901,0.85627,0.81135,0.88653,0.76584,0.52749,0.65103,1.14067,5.53308e-05,5.53308e-05,5.53308e-05
43,1231.15,0.31908,0.23838,0.96253,0.86264,0.81131,0.88697,0.76875,0.52579,0.65545,1.14316,4.95096e-05,4.95096e-05,4.95096e-05
44,1258.03,0.30747,0.22773,0.94907,0.84273,0.83203,0.89653,0.77995,0.51005,0.62615,1.13518,4.36884e-05,4.36884e-05,4.36884e-05
45,1284.91,0.3022,0.21858,0.94581,0.87002,0.80535,0.88536,0.76814,0.51521,0.65191,1.14848,3.78672e-05,3.78672e-05,3.78672e-05
46,1311.8,0.29189,0.21098,0.93575,0.86552,0.815,0.89347,0.77833,0.5016,0.63431,1.12823,3.2046e-05,3.2046e-05,3.2046e-05
47,1338.99,0.28654,0.20098,0.93659,0.84382,0.85469,0.90222,0.78681,0.49961,0.60905,1.11691,2.62248e-05,2.62248e-05,2.62248e-05
48,1365.88,0.28445,0.20041,0.93034,0.8489,0.84058,0.90117,0.78529,0.49296,0.60941,1.11414,2.04036e-05,2.04036e-05,2.04036e-05
49,1392.75,0.28161,0.19715,0.93551,0.85809,0.81803,0.90201,0.79104,0.49058,0.60824,1.10738,1.45824e-05,1.45824e-05,1.45824e-05
50,1419.8,0.27539,0.19144,0.92583,0.85947,0.82973,0.90404,0.79488,0.49207,0.59391,1.11234,8.7612e-06,8.7612e-06,8.7612e-06
